"Date","Actual","Linear","RandomForest","ARIMA"
2021-05-05,496.079987,505.898940593848,517.8097862826,503.099159799734
2021-05-06,499.549988,498.548934582995,516.6854280738,503.161651091996
2021-05-07,503.839996,501.077022620129,516.184998990233,503.113339734834
2021-05-10,486.690002,505.032715877752,511.7512987427,503.150688734132
2021-05-11,495.079987,488.792688753882,507.523701957767,503.121814617765
2021-05-12,484.980011,496.964724404067,513.223727450933,503.144136891766
2021-05-13,486.660004,486.593408339149,506.447516680367,503.126879777808
2021-05-14,493.369995,487.388550622375,505.038872683332,503.140221070104
2021-05-17,488.940002,494.616163415623,506.375124691966,503.129907058123
2021-05-18,486.279999,489.118809353707,509.705940545567,503.137880711708
2021-05-19,487.700012,487.285726855412,506.152613470167,503.131716364448
2021-05-20,501.670013,488.434879193478,505.8299065601,503.136481956123
2021-05-21,497.890015,501.091011387724,518.0953710591,503.132797727598
2021-05-24,502.899994,497.813438887706,513.052523895267,503.135645965707
2021-05-25,501.339996,502.766553386149,514.239573403533,503.133444022947
2021-05-26,502.359985,501.141592439247,514.968466825734,503.135146321608
2021-05-27,503.859985,500.908475586998,519.968408323834,503.133830292516
2021-05-28,502.809998,502.548657619439,518.0793838863,503.134847700689
2021-06-01,499.079987,501.04995273143,517.554940374234,503.13406115319
2021-06-02,499.23999,497.616294067385,515.2785598952,503.134669224744
2021-06-03,489.429993,497.658681196963,515.068757153867,503.134199131057
2021-06-04,494.73999,488.192995366096,510.4553300207,503.134562555514
2021-06-07,494.660004,493.249609155529,513.485338150367,503.13428159591
2021-06-08,492.390015,493.530424664986,513.245228517534,503.134498802809
2021-06-09,485.809998,491.312596728593,512.502944268001,503.134330882452
2021-06-10,487.269989,485.909895993794,508.0509095741,503.134460699904
2021-06-11,488.769989,486.882963631441,510.352951809267,503.134360339405
2021-06-14,499.890015,488.385735881989,510.8040275428,503.134437927045
2021-06-15,491.899994,499.178761990313,515.972655676834,503.134377944861
2021-06-16,492.410004,492.206197943546,509.536355292233,503.134424316453
2021-06-17,498.339996,492.667953821921,507.1060484928,503.134388467066
2021-06-18,500.769989,498.192884872369,508.306908090267,503.134416181848
2021-06-21,497,499.594674738272,513.189278302967,503.134394755843
2021-06-22,508.820007,496.760774103005,509.4941835593,503.134411320061
2021-06-23,512.73999,508.07207179801,513.0332445341,503.134398514439
2021-06-24,518.059998,511.463011288059,515.059431638867,503.13440841433
2021-06-25,527.070007,516.552629372471,514.2045020911,503.134400760829
2021-06-28,533.030029,525.719030798203,521.369807862033,503.13440667767
2021-06-29,533.5,530.71233727154,528.0486662561,503.134402103423
2021-06-30,528.210022,531.089564157415,528.3154819905,503.134405639725
2021-07-01,533.539978,525.970897130217,525.407836139067,503.134402905847
2021-07-02,533.97998,530.589792351779,528.319946031233,503.134405019379
2021-07-06,541.640015,530.881643687749,529.307144544933,503.13440338543
2021-07-07,535.960022,538.445917998739,530.744773158533,503.134404648619
2021-07-08,530.76001,533.810980922188,528.676690018166,503.134403672061
2021-07-09,535.97998,528.773839841139,529.135837740433,503.134404427027
2021-07-12,537.309998,534.034595412632,527.819503259833,503.134403843371
2021-07-13,540.679993,534.95722699432,531.983949597634,503.134404294589
2021-07-14,547.950012,539.029830447929,533.1889289292,503.134403945757
2021-07-15,542.950012,546.704519167669,535.564642791266,503.134404215436
2021-07-16,530.309998,541.713536352873,536.923748602966,503.13440400695
2021-07-19,532.280029,529.787730790658,531.531907979467,503.134404168128
2021-07-20,531.049988,531.560240424804,533.893032512433,503.134404043523
2021-07-21,513.630005,529.795833313244,535.9263238418,503.134404139854
2021-07-22,511.769989,513.65828792886,524.064361957833,503.134404065381
