"Model","MAE","RMSE","MAPE"
"Linear Regression",8.38344954659081,13.4404372088111,1.58352462447042
"Random Forest",46.7391851516627,63.4180240619543,7.94549814833222
"ARIMA",71.6268618816876,91.3048187317792,12.1789541332731
