"Date","Open","High","Low","Close","Adj.Close","Volume","MA_20","MA_50","Daily_Return","Lag_1_Close","Lag_5_Close","Volatility_20"
2018-04-17,329.660004,338.619995,323.769989,336.059998,336.059998,33866500,301.79550315,295.47700104,28.279999,307.779999,298.070007,14.2103502687077
2018-04-18,336.299988,338.820007,331.100006,334.519989,334.519989,11221100,302.6465026,297.08220092,-1.540009,336.059998,303.670013,15.6382186897577
2018-04-19,332.880005,335.309998,326.769989,332.700012,332.700012,8438800,303.45750265,298.42180114,-1.81997699999999,334.519989,309.25,16.7728114000418
2018-04-20,332.220001,336.51001,326,327.769989,327.769989,9158700,304.5110015,299.68600096,-4.93002300000001,332.700012,311.649994,17.6271363349706
2018-04-23,329.149994,331.220001,317.079987,318.690002,318.690002,8968000,305.3985015,301.05780088,-9.07998700000002,327.769989,307.779999,17.8828669325392
2018-04-24,319.220001,320.25,302.309998,307.019989,307.019989,13893200,304.73200065,302.20880064,-11.670013,318.690002,336.059998,17.541438055508
2018-04-25,306.369995,309.980011,292.619995,305.76001,305.76001,14919700,304.98550105,303.1650006,-1.25997899999999,307.019989,334.519989,17.5165676960118
2018-04-26,310,316.630005,305.579987,313.980011,313.980011,9266700,306.39600215,304.27920104,8.22000099999997,305.76001,332.700012,17.0164746363871
2018-04-27,316.25,317.450012,306.5,311.76001,311.76001,7074400,307.21650235,305.19440124,-2.22000099999997,313.980011,327.769989,16.8506471993001
2018-04-30,311.070007,317.880005,310.119995,312.459991,312.459991,6088800,308.82500145,305.83820128,0.69998099999998,311.76001,318.690002,15.636756043427
2018-05-01,310.359985,313.480011,306.690002,313.299988,313.299988,6036600,310.3065002,306.53380126,0.839996999999983,312.459991,307.019989,14.4895787259406
2018-05-02,311.649994,317.100006,310.399994,313.359985,313.359985,5697100,311.52749935,307.2300012,0.0599970000000098,313.299988,305.76001,13.595644982003
2018-05-03,312.589996,312.589996,305.730011,311.690002,311.690002,6135800,312.4134994,307.84300106,-1.669983,313.359985,313.980011,12.9534600622171
2018-05-04,308.709991,320.980011,307.670013,320.089996,320.089996,8209500,313.9754989,308.68200068,8.39999399999999,311.690002,311.76001,11.7941643780741
